transaction_id,timestamp,customer_id,product_id,payment_method,shipping_address,ip_address,device_id,amount,is_fraud
0,2025-05-28 16:05:42,52,34,debit_card,"655 Main St, New York",28.236.25.135,Mac_8548,41.76669570453151,False
1,2025-05-28 15:05:42,93,45,credit_card,"760 Broadway, Los Angeles",39.62.50.159,Linux_1448,10.0,True
2,2025-05-28 14:05:42,15,6,debit_card,"229 Park Ave, New York",135.65.209.91,Mac_2904,31.241201358991763,False
3,2025-05-28 13:05:42,72,37,credit_card,"693 State St, New York",,Windows_2106,101.2817067451987,False
4,2025-05-28 12:05:42,61,33,debit_card,"605 Market St, New York",96.246.104.118,Mac_4610,50.503917676847216,False
5,2025-05-28 11:05:42,21,22,credit_card,,145.63.254.179,Android_6172,41.506761918325125,False
6,2025-05-28 10:05:42,83,21,debit_card,"239 State St, Phoenix",58.77.176.212,Mac_6785,59.14600884065143,False
7,2025-05-28 09:05:42,87,6,credit_card,"28 State St, Los Angeles",58.77.176.212,Linux_9776,70.16792993270445,False
8,2025-05-28 08:05:42,75,6,debit_card,"734 State St, Houston",220.167.195.9,iPhone_5314,95.45924552279399,False
9,2025-05-28 07:05:42,75,48,credit_card,"226 Market St, Phoenix",220.167.195.9,Android_5706,112.64593882309089,False
10,2025-05-28 06:05:42,88,4,debit_card,"285 Main St, Los Angeles",,iPhone_7536,45.60948398879506,False
11,2025-05-28 05:05:42,24,30,credit_card,"715 Market St, Chicago",3.180.44.22,Windows_2245,28.133925378137853,False
12,2025-05-28 04:05:42,3,11,credit_card,"285 Park Ave, Los Angeles",128.217.112.166,Linux_3924,44.40124099735098,False
13,2025-05-28 03:05:42,22,30,credit_card,"981 Broadway, New York",201.85.145.251,Mac_6142,62.186644204686594,False
14,2025-05-28 02:05:42,53,31,credit_card,"95 Market St, New York",220.250.25.230,,33.72099150939925,False
15,2025-05-28 01:05:42,2,24,debit_card,"368 Broadway, Phoenix",136.236.11.59,Linux_5408,33.832590115824175,False
16,2025-05-28 00:05:42,88,9,credit_card,"271 Main St, Houston",55.231.223.178,,64.83813548176848,False
17,2025-05-27 23:05:42,30,3,paypal,"550 Main St, Houston",228.146.122.70,Mac_4271,53.286010215478804,False
18,2025-05-27 22:05:42,38,31,credit_card,"81 State St, Chicago",12.237.20.176,Android_4965,55.50085897756112,False
19,2025-05-27 21:05:42,2,40,credit_card,"850 State St, Chicago",237.72.231.140,Windows_4387,37.36566866266099,False
20,2025-05-27 20:05:42,64,37,debit_card,"592 Park Ave, New York",145.169.9.46,Android_4322,48.65719266864558,False
21,2025-05-27 19:05:42,60,36,debit_card,"47 Park Ave, Chicago",238.218.81.5,Android_6833,34.39404461949722,False
22,2025-05-27 18:05:42,21,24,credit_card,"82 Park Ave, New York",247.54.151.37,Android_2747,85.20833055839084,False
23,2025-05-27 17:05:42,33,31,credit_card,"390 Broadway, Houston",193.211.183.211,iPhone_2285,91.61771675756913,False
24,2025-05-27 16:05:42,76,6,debit_card,"651 Broadway, Los Angeles",102.238.20.77,Mac_1108,21.691187430776754,False
25,2025-05-27 15:05:42,58,2,credit_card,"380 Broadway, Los Angeles",42.145.62.146,Linux_1692,34.30340326843029,False
26,2025-05-27 14:05:42,22,20,paypal,"687 Broadway, New York",214.218.100.174,Mac_7081,25.83513461919374,False
27,2025-05-27 13:05:42,89,28,paypal,"624 Park Ave, Phoenix",230.139.85.99,Linux_6167,39.448184769922904,False
